employee_id,department,job_role,education_level,work_mode,city,age,years_experience,monthly_salary,training_hours,projects_completed,overtime_hours,satisfaction_score,performance_category
EMP00027,IT,Finance Analyst,Master,Remote,Surabaya,42,25,16483537.0,58.0,2,10,3.8,Low
EMP00028,Operations,Sales Executive,Master,Hybrid,Bandung,53,25,8068259.0,67.0,19,1,3.3,High
EMP00029,Marketing,Finance Analyst,High School,Remote,Bandung,56,33,24525287.0,38.0,5,9,,High
EMP00030,Finance,Software Engineer,,Remote,Bandung,25,23,16510504.0,21.0,18,36,4.4,Medium
EMP00031,Operations,Data Analyst,Bachelor,Hybrid,Medan,56,19,20554897.0,61.0,8,14,2.7,High
EMP00032,Operations,HR Officer,,Hybrid,Jakarta,49,16,20259886.0,,15,16,4.4,Low
EMP00033,HR,Product Manager,Diploma,Hybrid,Semarang,41,26,22396597.0,4.0,0,39,2.1,Low
EMP00034,HR,Product Manager,Diploma,Remote,Surabaya,39,26,18262243.0,,6,1,4.0,Low
EMP00035,Marketing,Finance Analyst,Diploma,Onsite,Surabaya,38,22,25444670.0,53.0,10,0,3.4,Medium
EMP00036,Finance,Data Analyst,High School,Onsite,Semarang,40,30,20053383.0,39.0,19,14,3.6,Low
EMP00037,IT,Marketing Specialist,Bachelor,Remote,Bandung,58,1,18901957.0,35.0,13,25,4.2,Low
EMP00038,HR,Product Manager,High School,Hybrid,Semarang,50,6,24171770.0,29.0,17,21,2.3,High
EMP00039,Sales,Finance Analyst,Diploma,Hybrid,Yogyakarta,37,30,23795532.0,16.0,6,34,4.7,High
EMP00040,Finance,Data Analyst,Bachelor,Remote,Semarang,58,14,28016049.0,0.0,0,2,3.0,Medium
EMP00041,Marketing,Software Engineer,Diploma,Remote,Bandung,35,17,21642597.0,19.0,6,36,1.2,High
EMP00042,Operations,Data Analyst,Master,Hybrid,Medan,34,14,5300998.0,51.0,1,3,1.0,High
EMP00043,IT,Data Analyst,Bachelor,Hybrid,Surabaya,34,30,5796837.0,52.0,19,2,3.1,High
EMP00044,Finance,Product Manager,Bachelor,Onsite,Yogyakarta,53,14,9477442.0,32.0,18,32,,Medium
EMP00045,Sales,Business Analyst,,Onsite,Yogyakarta,95,27,11678351.0,78.0,15,21,2.1,Medium
EMP00046,it,Sales Executive,Diploma,Remote,Yogyakarta,41,31,26254214.0,,13,24,2.3,Medium
EMP00047,IT,Sales Executive,High School,Hybrid,Semarang,22,16,,1.0,7,37,2.6,High
EMP00048,Marketing,Data Analyst,Master,Onsite,Semarang,57,20,22412933.0,14.0,0,25,2.7,Medium
EMP00049,Marketing,Data Engineer,Master,Remote,Medan,42,28,14206792.0,40.0,14,39,,Medium
EMP00050,Sales,HR Officer,Bachelor,Hybrid,Semarang,33,2,24307743.0,32.0,0,12,,High
EMP00051,Marketing,Marketing Specialist,Master,Remote,Semarang,24,5,5327090.0,66.0,7,19,3.6,Medium
EMP00052,Marketing,Data Analyst,Diploma,Onsite,Jakarta,50,9,,,14,2,2.1,Medium
EMP00053,Operations,HR Officer,Diploma,Hybrid,Semarang,29,18,18356967.0,26.0,9,27,3.6,Low
EMP00054,it,Finance Analyst,Diploma,Hybrid,Surabaya,28,7,,20.0,13,12,3.6,Low
EMP00055,HR,Data Analyst,Master,Remote,Semarang,36,8,11684058.0,2.0,3,39,1.0,Medium
EMP00056,Operations,Customer Success,,Hybrid,Medan,21,13,28965895.0,70.0,6,15,2.6,Medium
EMP00057,Sales,Data Engineer,Bachelor,Hybrid,Bandung,53,20,,51.0,9,8,4.2,Medium
EMP00058,Marketing,Software Engineer,High School,Remote,Jakarta,51,20,29980503.0,,15,20,2.6,Medium
EMP00059,Operations,Business Analyst,Diploma,Onsite,Surabaya,46,6,26678055.0,55.0,15,7,2.1,High
EMP00060,Sales,Finance Analyst,,Hybrid,Yogyakarta,31,7,,16.0,7,29,3.8,Medium
EMP00061,Sales,Sales Executive,High School,Onsite,Yogyakarta,36,3,17221489.0,33.0,7,34,4.0,High
EMP00062,HR,Finance Analyst,Bachelor,Onsite,Semarang,47,7,10882792.0,41.0,15,4,,Low
EMP00063,Operations,Software Engineer,Master,Hybrid,Jakarta,30,14,26691284.0,33.0,8,25,3.8,Low
EMP00064,HR,Software Engineer,Master,Remote,Surabaya,38,0,16116310.0,32.0,14,30,4.0,Low
EMP00065,Finance,Business Analyst,Diploma,Onsite,Bandung,43,15,26856316.0,26.0,4,37,4.5,Low
EMP00066,Sales,Marketing Specialist,High School,Hybrid, jakarta ,34,6,7457243.0,2.0,18,20,2.7,Low
EMP00067,Finance,Product Manager,High School,Onsite,Bandung,40,2,18039066.0,32.0,15,38,,High
EMP00068,Finance,Sales Executive,Diploma,Hybrid,Jakarta,29,22,22614358.0,64.0,12,25,4.0,Medium
EMP00069,Operations,Product Manager,Diploma,Remote,Jakarta,29,16,20909445.0,45.0,6,6,2.8,High
EMP00070,Marketing,Business Analyst,Master,Onsite,Yogyakarta,57,4,18761696.0,9.0,16,39,1.3,Low
EMP00071,HR,Software Engineer,,Remote,Bandung,42,20,11252910.0,55.0,18,35,2.6,Medium
EMP00072,it,HR Officer,High School,Hybrid,Bandung,41,34,7029261.0,22.0,9,23,1.8,Medium
EMP00073,Operations,Data Engineer,Diploma,Onsite,Yogyakarta,25,29,11825670.0,5.0,7,25,1.6,Medium
EMP00074,HR,Customer Success,High School,Hybrid,Semarang,56,25,11253923.0,40.0,3,12,3.7,Medium
EMP00075,Marketing,Product Manager,Diploma,Hybrid,Jakarta,51,21,17522919.0,63.0,1,22,2.1,Low
EMP00076,HR,Data Engineer,Bachelor,Remote,Jakarta,57,0,7978170.0,19.0,14,24,4.4,High
EMP00077,Sales,Software Engineer,Diploma,Hybrid,Bandung,50,19,21132040.0,2.0,3,5,4.7,Medium
EMP00078,Sales,Data Analyst,Diploma,Onsite,Surabaya,21,18,19879013.0,27.0,14,220,1.4,Low
EMP00079,IT,Business Analyst,Diploma,Hybrid,Yogyakarta,30,23,11565337.0,71.0,4,12,3.6,Low
EMP00080,Operations,Software Engineer,High School,Onsite,Bandung,45,22,17640488.0,2.0,7,38,2.6,Low
EMP00081,Finance,Data Engineer,Diploma,Remote,Jakarta,42,10,21311958.0,48.0,15,27,2.6,Medium
EMP00082,Finance,Marketing Specialist,Diploma,Onsite,Yogyakarta,49,5,19204656.0,,16,27,2.4,Medium
EMP00083,Operations,Business Analyst,High School,Remote,Jakarta,24,23,8438209.0,63.0,14,14,,Medium
EMP00084,Marketing,Software Engineer,Bachelor,Onsite,Jakarta,28,15,24764325.0,33.0,5,38,2.1,Low
EMP00085,HR,Data Engineer,,Onsite,Surabaya,43,20,17044642.0,28.0,2,1,1.0,Low
EMP00086,Sales,Finance Analyst,High School,Remote,Medan,52,17,22329505.0,29.0,11,22,4.7,High
EMP00087,Marketing,Software Engineer,Bachelor,Hybrid,Medan,40,22,26899815.0,63.0,7,13,4.0,Low
EMP00088,Finance,Data Analyst,Bachelor,Hybrid,Surabaya,34,1,23556281.0,,18,35,4.1,High
EMP00089,IT,Product Manager,High School,Remote,Surabaya,52,31,20042586.0,14.0,16,3,2.2,Low
EMP00090,Finance,Business Analyst,Bachelor,Hybrid,Jakarta,45,14,26278459.0,11.0,6,35,3.7,High
EMP00091,HR,Finance Analyst,Diploma,Hybrid,Medan,51,20,7447419.0,74.0,15,13,2.0,High
EMP00092,IT,Marketing Specialist,Diploma,Remote,Surabaya,58,17,18211917.0,23.0,18,7,3.5,Medium
EMP00093,Finance,Sales Executive,Diploma,Hybrid,Jakarta,54,27,24248215.0,17.0,1,2,4.5,Medium
EMP00094,Operations,Data Analyst,,Onsite,Surabaya,25,18,10807179.0,16.0,10,27,1.5,Low
EMP00095,IT,Business Analyst,High School,Hybrid,Jakarta,30,5,28447883.0,62.0,5,21,3.2,Low
EMP00096,Marketing,Data Analyst,Bachelor,Hybrid,Bandung,24,24,7114592.0,0.0,14,16,1.2,Medium
EMP00097,Finance,Data Engineer,Bachelor,Remote,Semarang,39,18,26793363.0,0.0,15,23,4.4,Low
EMP00098,Operations,Finance Analyst,High School,Hybrid,Surabaya,44,32,,57.0,14,0,1.1,High
EMP00099,Operations,Sales Executive,Master,Onsite,Jakarta,55,29,8312345.0,10.0,1,9,1.6,Low
EMP00100,IT,Customer Success,High School,Hybrid,Yogyakarta,42,8,6367094.0,58.0,17,19,,Medium
EMP00101,Operations,Business Analyst,Diploma,Hybrid,Jakarta,36,34,8809847.0,54.0,15,2,4.2,Medium
EMP00102,Sales,Marketing Specialist,,Hybrid,Bandung,34,25,25671303.0,59.0,12,19,2.0,Low
EMP00103,Sales,Finance Analyst,Bachelor,Hybrid,Bandung,40,32,,45.0,4,29,2.8,Medium
EMP00104,Marketing,Data Engineer,High School,Onsite,Semarang,44,13,22632675.0,25.0,12,39,1.0,Medium
EMP00105,Marketing,Customer Success,High School,Remote,Medan,54,13,12321556.0,42.0,16,18,4.1,High
EMP00106,Operations,Marketing Specialist,Bachelor,Hybrid,Semarang,50,32,5778859.0,61.0,8,12,1.7,High
EMP00107,Operations,Product Manager,High School,Remote,Bandung,39,30,19140977.0,41.0,6,16,4.8,Medium
EMP00108,Marketing,Marketing Specialist,,Onsite,Yogyakarta,26,18,24564758.0,39.0,12,5,4.7,Low
EMP00109,Finance,Data Engineer,Diploma,Onsite,Medan,41,13,5400280.0,16.0,18,34,3.7,Low
EMP00110,HR,Marketing Specialist,High School,Hybrid,Semarang,48,1,17628513.0,64.0,14,2,2.8,Low
EMP00111,Finance,Customer Success,Master,Remote,Semarang,42,3,20777891.0,11.0,4,6,4.8,Medium
EMP00112,IT,Marketing Specialist,High School,Hybrid,Jakarta,47,24,10869072.0,27.0,16,28,2.8,High
EMP00113,Marketing,Data Analyst,Diploma,Remote,Jakarta,37,15,17357128.0,49.0,6,36,1.7,Low
EMP00114,Operations,Finance Analyst,High School,Remote,Jakarta,26,3,22481609.0,7.0,16,6,,Medium
EMP00115,Operations,HR Officer,Master,Hybrid,Medan,22,19,18518750.0,29.0,15,24,1.4,Low
EMP00116,Operations,Software Engineer,Master,Remote,Medan,37,8,18763671.0,,13,11,2.4,Low
EMP00117,IT,Data Analyst,Diploma,Onsite,Medan,37,28,17721720.0,35.0,2,3,1.3,High
EMP00118,Sales,Customer Success,Bachelor,Hybrid,Semarang,95,21,13462852.0,48.0,0,19,1.8,Medium
EMP00119,Operations,Sales Executive,Bachelor,Hybrid,Bandung,57,11,8000337.0,44.0,18,4,5.0,High
EMP00120,HR,Finance Analyst,High School,Onsite,Semarang,29,1,21116049.0,55.0,2,24,4.6,High
EMP00121,Operations,Business Analyst,High School,Hybrid,Medan,40,3,25257652.0,31.0,19,19,2.5,Low
EMP00122,Operations,Finance Analyst,Master,Onsite,Surabaya,35,17,23923206.0,66.0,7,28,1.8,Medium
EMP00123,Finance,Product Manager,Bachelor,Remote,Semarang,41,1,6727777.0,20.0,15,32,3.3,High
EMP00124,Operations,Product Manager,Diploma,Onsite,Jakarta,27,14,5123336.0,29.0,11,16,2.0,Medium
EMP00125,IT,Customer Success,High School,Hybrid,Surabaya,59,20,,36.0,16,16,2.8,Medium
EMP00126,Operations,Business Analyst,High School,Remote,Semarang,30,0,5458953.0,24.0,15,37,2.3,Low
EMP00127,Sales,Customer Success,Master,Onsite,Semarang,45,12,25475242.0,79.0,17,19,4.1,High
EMP00128,Operations,Data Engineer,Master,Remote,Bandung,28,30,19496987.0,61.0,1,36,4.6,High
EMP00129,HR,HR Officer,Bachelor,Hybrid,Semarang,40,4,10549146.0,36.0,0,31,1.6,High
EMP00130,Finance,Sales Executive,Bachelor,Remote,Yogyakarta,43,16,,17.0,13,15,4.3,Low
EMP00131,Sales,Data Engineer,High School,Remote,Semarang,59,2,15674748.0,18.0,15,27,2.5,High
EMP00132,Sales,Product Manager,High School,Onsite,Bandung,35,8,29381329.0,19.0,3,25,2.8,High
EMP00133,Sales,Software Engineer,Diploma,Remote,Bandung,26,2,150000000.0,48.0,19,29,1.5,High
EMP00134,Operations,Business Analyst,Master,Remote,Medan,22,29,,26.0,11,22,2.3,Low
EMP00135,Finance,Business Analyst,Bachelor,Hybrid,Medan,55,2,12432014.0,68.0,7,9,2.0,High
EMP00136,Operations,HR Officer,Diploma,Onsite,Yogyakarta,23,1,15219701.0,56.0,5,29,,High
EMP00137,Finance,Software Engineer,Bachelor,Onsite,Medan,35,20,22498195.0,12.0,10,3,3.1,Medium
EMP00138,Finance,Data Engineer,Bachelor,Hybrid,Yogyakarta,34,11,15291255.0,13.0,18,17,3.8,Low
EMP00139,IT,Data Analyst,Bachelor,Hybrid,Surabaya,32,2,29231652.0,53.0,8,28,2.9,Low
EMP00140,Operations,Finance Analyst,,Remote,Semarang,42,0,26095307.0,67.0,2,5,1.8,High
EMP00141,Marketing,Marketing Specialist,High School,Onsite,Bandung,23,2,5928631.0,8.0,17,32,4.2,High
EMP00142,Finance,Marketing Specialist,Master,Hybrid,Medan,42,0,,69.0,4,17,2.1,Low
EMP00143,Marketing,Business Analyst,Bachelor,Hybrid,Semarang,35,19,7879477.0,27.0,4,8,3.3,Medium
EMP00144,Operations,Data Engineer,Bachelor,Onsite,Jakarta,27,8,11883360.0,64.0,7,33,2.0,Low
EMP00145,HR,Business Analyst,High School,Remote,Yogyakarta,59,24,21400840.0,74.0,18,21,2.5,High
EMP00146,Finance,Software Engineer,,Onsite,Bandung,45,20,27462154.0,19.0,11,38,,Low
EMP00147,Marketing,Marketing Specialist,Bachelor,Remote,Yogyakarta,26,16,28457592.0,68.0,14,31,3.0,High
EMP00148,Finance,Data Engineer,Master,Onsite,Surabaya,23,2,8670191.0,71.0,5,4,1.4,High
EMP00149,Finance,Data Engineer,Diploma,Hybrid,Jakarta,37,4,8080026.0,24.0,13,7,4.6,High
EMP00150,IT,Product Manager,Diploma,Onsite,Jakarta,35,34,,34.0,14,2,3.3,Low
EMP00151,Finance,HR Officer,Master,Hybrid,Medan,56,25,5408073.0,29.0,9,35,4.6,Low
EMP00152,Finance,Data Analyst,High School,Hybrid,Semarang,45,10,29984311.0,30.0,11,24,3.2,Medium
EMP00153,Finance,Product Manager,,Hybrid,Jakarta,33,29,26426434.0,30.0,13,34,4.4,Medium
EMP00154,HR,Business Analyst,High School,Onsite,Yogyakarta,33,29,23113674.0,10.0,3,21,2.1,Medium
EMP00155,it,Product Manager,High School,Onsite,Surabaya,25,30,10628318.0,2.0,2,20,4.7,Medium
EMP00156,Operations,Sales Executive,Diploma,Hybrid,Semarang,30,11,12269018.0,,14,25,,Medium
EMP00157,Marketing,Marketing Specialist,High School,Remote,Yogyakarta,33,34,23265572.0,43.0,5,3,,Low
EMP00158,Sales,Product Manager,Diploma,Remote,Yogyakarta,57,7,7588257.0,65.0,7,24,4.5,High
EMP00159,Sales,Sales Executive,Diploma,Onsite,Yogyakarta,31,16,7208121.0,29.0,18,37,2.5,Medium
EMP00160,Marketing,HR Officer,,Hybrid,Surabaya,30,33,23259190.0,24.0,13,24,1.1,Medium
EMP00161,Operations,Sales Executive,High School,Remote,Yogyakarta,37,1,18432156.0,47.0,1,31,3.5,Medium
EMP00162,IT,Customer Success,Bachelor,Hybrid,Semarang,47,26,8068521.0,22.0,11,5,2.7,High
EMP00163,HR,Finance Analyst,,Onsite,Jakarta,57,24,26331731.0,,12,36,1.5,Low
EMP00164,Operations,Software Engineer,Master,Remote,Semarang,41,30,12804112.0,32.0,16,1,4.5,Medium
EMP00165,HR,Marketing Specialist,Bachelor,Onsite,Semarang,53,1,28170476.0,13.0,2,25,4.4,Low
EMP00166,Operations,Software Engineer,High School,Remote,Yogyakarta,32,8,19839811.0,4.0,4,11,,High
EMP00167,IT,Product Manager,Master,Remote,Medan,48,26,9356866.0,20.0,10,27,3.0,Low
EMP00168,Sales,Product Manager,Diploma,Onsite,Surabaya,30,14,8744895.0,43.0,3,38,1.2,Medium
EMP00169,Sales,Business Analyst,Master,Hybrid,Semarang,44,13,24272311.0,25.0,10,2,3.4,Low
EMP00170,HR,Marketing Specialist,Bachelor,Onsite,Semarang,26,32,20581840.0,39.0,17,3,4.9,High
EMP00171,IT,Sales Executive,Diploma,Remote,Yogyakarta,59,14,,40.0,0,27,4.3,Low
EMP00172,Sales,Business Analyst,Bachelor,Remote,Medan,48,33,22903541.0,48.0,14,29,3.5,Low
EMP00173,Marketing,Data Analyst,High School,Onsite,Jakarta,59,25,,0.0,7,33,2.8,Medium
EMP00174,Sales,Data Engineer,Diploma,Hybrid,Yogyakarta,35,1,11587577.0,17.0,6,26,2.6,Low
EMP00175,IT,Finance Analyst,High School,Remote,Medan,33,3,150000000.0,22.0,18,17,,Low
EMP00176,Operations,Data Engineer,Master,Onsite,Bandung,34,12,7476015.0,49.0,19,12,,High
EMP00177,Marketing,Business Analyst,Master,Onsite,Semarang,26,23,10669617.0,23.0,16,19,4.3,Medium
EMP00178,Operations,Software Engineer,High School,Remote, jakarta ,120,7,16818169.0,33.0,14,4,,Medium
EMP00179,Finance,Software Engineer,Diploma,Remote,Bandung,34,26,13698281.0,59.0,9,30,4.8,Low
EMP00180,Sales,Sales Executive,Master,Remote,Bandung,34,23,10426018.0,14.0,19,27,2.2,High
EMP00181,HR,Marketing Specialist,Diploma,Remote,Bandung,21,11,20099450.0,23.0,19,22,1.0,Low
EMP00182,Finance,Data Engineer,High School,Hybrid,Medan,36,1,14607204.0,2.0,11,27,1.3,Low
EMP00183,Operations,Data Analyst,Master,Remote,Medan,36,11,6102548.0,21.0,18,11,1.1,High
EMP00184,Finance,Marketing Specialist,Diploma,Remote,Yogyakarta,43,34,,,1,36,5.0,High
EMP00185,IT,Sales Executive,Bachelor,Remote,Surabaya,41,4,14916577.0,9.0,6,12,,Medium
EMP00186,Sales,Business Analyst,Diploma,Onsite,Jakarta,23,20,14844937.0,2.0,14,9,,High
EMP00187,Operations,Data Engineer,Master,Remote,Surabaya,36,23,10979347.0,29.0,12,0,5.0,Medium
EMP00188,IT,Business Analyst,Master,Hybrid,Semarang,27,20,22272870.0,62.0,16,25,1.8,Low
EMP00189,Finance,Finance Analyst,Bachelor,Onsite,Yogyakarta,51,6,26765216.0,72.0,1,35,3.5,High
EMP00190,IT,Business Analyst,Bachelor,Hybrid,Bandung,25,21,15924237.0,59.0,8,5,4.5,Medium
EMP00191,Operations,HR Officer,Bachelor,Onsite,Medan,57,1,9772410.0,36.0,11,18,1.5,Medium
EMP00192,Finance,Product Manager,Bachelor,Onsite,Bandung,37,0,12011647.0,3.0,4,29,1.6,Medium
EMP00193,Operations,Sales Executive,Bachelor,Remote,Semarang,49,20,5244184.0,2.0,10,38,3.9,Low
EMP00194,IT,Data Analyst,Bachelor,Hybrid,Yogyakarta,57,20,5232303.0,77.0,6,30,,Medium
EMP00195,Finance,Business Analyst,Diploma,Onsite,Bandung,37,23,,18.0,1,2,2.6,High
EMP00196,Operations,Product Manager,Diploma,Remote,Yogyakarta,51,14,23612526.0,25.0,8,16,3.7,Low
EMP00197,Operations,Finance Analyst,Diploma,Remote,Yogyakarta,32,21,7117676.0,10.0,15,12,1.1,Medium
EMP00198,Finance,Business Analyst,Bachelor,Remote,Surabaya,45,18,16227008.0,77.0,1,4,4.7,Medium
EMP00199,HR,Software Engineer,High School,Remote,Bandung,47,30,29994280.0,79.0,13,32,2.6,Medium
EMP00200,Sales,Customer Success,Diploma,Onsite,Semarang,23,33,13765962.0,,6,23,3.1,Medium
EMP00201,Finance,Customer Success,Bachelor,Remote,Jakarta,56,29,,58.0,6,0,4.3,High
EMP00202,Finance,Product Manager,Master,Remote,Jakarta,27,16,28624956.0,19.0,5,2,2.0,Low
EMP00203,IT,Sales Executive,Diploma,Hybrid,Bandung,40,30,20174152.0,60.0,8,29,2.9,Medium
EMP00204,Sales,Business Analyst,Diploma,Remote,Bandung,43,27,9187757.0,69.0,19,14,1.0,Low
EMP00205,Operations,Sales Executive,Master,Remote,Yogyakarta,47,34,16273876.0,58.0,7,11,2.8,Low
EMP00206,Finance,Customer Success,Master,Hybrid,Medan,21,27,,60.0,17,37,1.6,High
EMP00207,Marketing,Business Analyst,,Onsite,Medan,26,20,9445490.0,2.0,13,1,4.3,Medium
EMP00208,Operations,Sales Executive,High School,Hybrid,Bandung,58,16,16169748.0,40.0,18,34,4.4,Medium
EMP00209,Marketing,HR Officer,Master,Remote,Jakarta,23,19,17323952.0,21.0,10,28,4.7,Low
EMP00210,Sales,Business Analyst,Master,Hybrid,Bandung,43,13,9445240.0,30.0,6,23,4.0,Low
EMP00211,HR,HR Officer,High School,Remote,Semarang,54,15,16014541.0,13.0,17,2,4.2,Medium
EMP00212,Sales,Marketing Specialist,Diploma,Onsite,Medan,31,26,21912348.0,10.0,1,11,1.9,Low
EMP00213,IT,Finance Analyst,Master,Remote,Medan,44,23,16758432.0,17.0,7,20,3.4,Medium
EMP00214,Marketing,Marketing Specialist,Bachelor,Hybrid,Medan,22,16,23778599.0,54.0,3,9,2.3,High
EMP00215,Sales,Finance Analyst,Diploma,Onsite,Jakarta,34,25,8564298.0,30.0,10,35,,High
EMP00216,Operations,Finance Analyst,Diploma,Remote,Surabaya,51,22,28783081.0,13.0,17,16,3.0,Medium
EMP00217,Finance,Sales Executive,,Remote,Yogyakarta,39,11,18252514.0,14.0,3,21,4.8,Medium
EMP00218,Sales,Marketing Specialist,Diploma,Onsite,Surabaya,34,5,11021533.0,66.0,8,14,3.4,High
EMP00219,Sales,Product Manager,High School,Remote,Yogyakarta,52,11,7749535.0,78.0,17,7,4.2,Low
EMP00220,Operations,Data Analyst,Bachelor,Remote,Semarang,26,32,23649300.0,23.0,7,13,4.9,Low
EMP00221,Operations,Customer Success,Master,Remote,Medan,51,2,28203156.0,19.0,4,4,3.2,Medium
EMP00222,Operations,Data Engineer,Diploma,Remote,Bandung,43,31,23955869.0,5.0,6,14,3.3,Medium
EMP00223,Operations,Software Engineer,Diploma,Hybrid,Semarang,38,14,29252290.0,50.0,6,180,4.3,High
EMP00224,Marketing,Marketing Specialist,Bachelor,Hybrid,Yogyakarta,26,29,17756813.0,50.0,4,22,3.9,High
EMP00225,Operations,Sales Executive,Master,Hybrid,Semarang,24,4,16005131.0,78.0,0,25,1.7,High
EMP00226,Marketing,Business Analyst,Master,Hybrid,Semarang,40,24,28372435.0,34.0,15,8,1.6,Low
EMP00227,Operations,Business Analyst,Diploma,Remote,Yogyakarta,27,12,26690366.0,39.0,1,10,3.6,High
EMP00228,IT,Product Manager,Master,Remote,Yogyakarta,36,18,16918856.0,28.0,8,1,3.5,High
EMP00229,Sales,Marketing Specialist,Bachelor,Onsite,Bandung,27,20,,27.0,15,24,4.8,High
EMP00230,Sales,Business Analyst,Diploma,Hybrid,Bandung,23,9,250000000.0,72.0,0,0,4.1,Medium
EMP00231,Sales,Customer Success,Master,Hybrid,Medan,51,2,9943658.0,32.0,5,25,3.3,Low
EMP00232,IT,Data Engineer,Diploma,Remote,Bandung,44,19,5424627.0,51.0,9,12,1.7,Low
EMP00233,IT,HR Officer,Bachelor,Hybrid,Bandung,95,28,5491701.0,46.0,15,3,1.9,High
EMP00234,Finance,Software Engineer,High School,Remote,Surabaya,50,10,,46.0,7,9,3.6,High
EMP00235,Finance,Business Analyst,Master,Onsite,Surabaya,48,14,7294507.0,38.0,19,4,4.8,Low
EMP00236,it,Finance Analyst,High School,Onsite,Yogyakarta,33,17,10333788.0,,17,16,2.3,High
EMP00237,Marketing,HR Officer,High School,Onsite,Yogyakarta,56,5,28836181.0,15.0,4,9,2.0,Low
EMP00238,HR,Data Analyst,Master,Onsite,Bandung,28,26,22383780.0,42.0,9,26,3.7,High
EMP00239,IT,Business Analyst,Bachelor,Remote,Bandung,54,12,27595230.0,77.0,2,28,2.0,Medium
EMP00240,Sales,Marketing Specialist,Diploma,Hybrid,Jakarta,33,11,23434261.0,5.0,6,29,4.2,Low
EMP00241,IT,Finance Analyst,Diploma,Hybrid,Surabaya,21,26,8109873.0,48.0,11,11,4.4,High
EMP00242,Sales,Business Analyst,Master,Remote,Yogyakarta,59,5,7714430.0,38.0,3,3,4.3,High
EMP00243,Operations,Customer Success,Diploma,Onsite,Yogyakarta,37,21,6415320.0,35.0,9,37,4.5,Low
EMP00244,Finance,Data Engineer,Bachelor,Remote,Jakarta,24,17,25886643.0,74.0,3,7,1.3,Low
EMP00245,Finance,Customer Success,,Remote,Bandung,58,0,,,12,4,2.4,Low
EMP00246,Sales,Marketing Specialist,,Onsite,Surabaya,22,22,10125200.0,29.0,8,9,3.4,High
EMP00247,Marketing,Data Engineer,Diploma,Onsite,Jakarta,40,5,9938661.0,31.0,19,34,2.3,High
EMP00248,Marketing,Product Manager,Bachelor,Onsite,Bandung,56,30,20714690.0,71.0,12,19,2.3,High
